"FundManagerID","Funmager","Gender","BirthDate","NationalityCode","Nationality","DegreeID","Degree","Major","MajorChara","UniversityID","University","IsInternationalSchool","Is985Universities","Is211Universities","OveseaBack","PoliticalBack","Certificate","BusinessDuration","Resume"
"30000000000000187357","张川","男","","CHN","中华人民共和国","2","硕士研究生","数学专业","1","10143871","西安交通大学","1","1","1","","0","","","张川先生，西安交通大学数学专业硕士。2011年6月至2017年3月就职于中原证券股份有限公司，任研究所研究员之职。2017年3月至2018年11月就职于兴证投资管理有限公司，任上海分公司高级经理之职。2018年11月至2022年1月就职于平安养老保险股份有限公司，任战术资产配置部及组合管理部组合投资经理之职。2022年1月至2024年10月就职于招银理财有限责任公司，任FOF投资部投资经理之职。2024年10月加盟浦银安盛基金管理有限公司，现任FOF业务部业务主管兼基金经理之职。2024年12月至2026年1月担任浦银安盛兴荣稳健一年持有期混合型基金中基金（FOF）的基金经理。2024年12月起担任浦银安盛颐和稳健养老目标一年持有期混合型基金中基金(FOF)的基金经理。2024年12月起担任浦银安盛嘉和稳健一年持有期混合型基金中基金（FOF）的基金经理。2025年10月起担任浦银安盛盈丰多元配置3个月持有期混合型基金中基金（FOF）的基金经理。2025年11月起担任浦银安盛盈鑫多元配置90天持有期混合型基金中基金（ETF-FOF）的基金经理。2026年2月起担任浦银安盛盈福多元配置3个月持有期混合型基金中基金（FOF）的基金经理。"
"30761533","李泽南","男","","CHN","中华人民共和国","2","硕士研究生","","","","","","","","","0","","6.00","李泽南，男，中国，研究生、硕士，其他公司历任：博时基金管理有限公司固定收益研究部基金经理助理兼研究员，本公司历任：无，本公司现任：基金经理/基金经理助理。"
"30761611","曹勇志","男","","CHN","中华人民共和国","2","硕士研究生","经济学","5","10143869","武汉大学","1","1","1","","0","","","曹勇志先生，现任权益投资部总经理、本基金基金经理。武汉大学经济学硕士。曾任国泰君安证券研究所研究员、泰信基金管理有限公司金融工程部高级金融工程师、华泰联合证券（更名前为联合证券）股份有限公司证券投资部副总经理、深圳友恒投资管理有限公司副总经理、深圳丰岭资本管理有限公司合伙人、东兴证券股份有限公司证券投资部副总经理。"
"30000000000000016139","段玮","女","","CHN","中华人民共和国","3","本科","","","","","","","","","0","","17.00","段玮女士，本科，17年证券从业经验；2008年加入工银瑞信，现任固定收益部信用研究副总监、基金经理。2024年12月2日至今，担任工银瑞信信用纯债一年定期开放债券型证券投资基金基金经理；2025年10月21日至今，担任工银瑞信双玺6个月持有期债券型证券投资基金基金经理。"
"30761693","顾俊伦","男","","CHN","中华人民共和国","2","硕士研究生","","","","","","","","","0","","6.00","顾俊伦先生，硕士研究生，9年证券从业经历，具有基金从业资格，中国国籍。曾任招商期货有限公司量化研究部分析师、中航资本国际控股有限公司固定收益部分析师。2022年2月加入嘉实国际资产管理有限公司任投资经理。2024年12月5日至今任嘉实新兴市场债券型证券投资基金基金经理。"
"30761833","张彩霞","女","","CHN","中华人民共和国","2","硕士研究生","","","","","","","","","0","","8.00","张彩霞女士，硕士研究生。曾任厦门国际邮轮母港集团有限公司投资专员，上海新世纪资信评估投资服务有限公司分析员，华润元大基金管理有限公司研究员，兴证证券资产管理有限公司研究员。2020年11月加入国联安基金管理有限公司，历任信用研究员、基金经理。2024年12月起担任国联安恒盛3个月定期开放纯债债券型证券投资基金的基金经理；2025年6月起兼任国联安增富一年定期开放纯债债券型发起式证券投资基金和国联安恒通3个月定期开放纯债债券型证券投资基金的基金经理；2025年12月起兼任国联安中短债债券型证券投资基金的基金经理。"
"30762042","林茂政","男","","CHN","中华人民共和国","2","硕士研究生","理学","1","","","","","","","0","","","林茂政先生。理学硕士。2019年7月进入平安证券股份有限公司资产管理部任投资经理助理。2020年5月起任上海千象资产管理有限公司股票量化研究员。2020年12月起先后任国海证券股份有限公司证券资产管理分公司投资分析员、投资经理。2024年4月起进入苏新基金管理有限公司工作，2024年10月起任权益投资部基金经理。2024年12月至今任苏新中证500指数增强型证券投资基金的基金经理。2025年3月至今任苏新中证A500指数增强型证券投资基金的基金经理。2025年5月至今任苏新上证科创板综合指数增强型证券投资基金的基金经理。2025年8月至今任苏新中证800自由现金流指数型证券投资基金的基金经理。2025年11月至今任苏新睿见量化选股股票型证券投资基金基金经理。"
"30762037","张博洋","男","","CHN","中华人民共和国","3","本科","","","","","","","","","0","","13.00","张博洋先生，本科，13年证券从业经历，具有基金从业资格，中国国籍。曾任平安利顺货币经纪有限责任公司外汇市场部经纪人、上海国利货币经纪有限公司衍生品部部门经理、国泰君安证券股份有限公司资本市场部高级经理，2022年7月加入嘉实基金管理有限公司启航解决方案战队任投资经理。2024年12月7日至今任嘉实丰益纯债定期开放债券型证券投资基金基金经理、2024年12月7日至今任嘉实增益宝货币市场基金基金经理、2024年12月11日至今任嘉实致诚纯债债券型证券投资基金基金经理、2025年3月26日至今任嘉实稳骏纯债债券型证券投资基金基金经理、2025年10月22日至今任嘉实稳健兴享6个月持有期债券型证券投资基金基金经理。"
"30762049","杨坤","男","","CHN","中华人民共和国","1","博士研究生","","","10123973","中国人民大学","1","1","1","","0","","","杨坤先生，中国人民大学博士，国家发改委PPP入库专家、中国基金业协会资产证券化业务委员会委员。2008年至2019年供职于国泰君安证券股份有限公司，历任证券及衍生品投资总部研究员、投资经理。国泰君安申易（深圳）基金管理有限公司投资总监、投决会委员。上海国泰君安证券资产管理有限公司资产证券化部董事总经理。2019年至2021年任职于京东数字科技控股股份有限公司，历任大资管事业部总监，上海金顺东投资管理有限公司总经理。2021年3月加入招商基金任基础设施投资管理部部门负责人。杨坤先生具备5年以上基础设施项目投资/运营管理经验。现任招商科创孵化器封闭式基础设施证券投资基金基金经理（管理时间：2024年12月17日至今）。"
"30762040","王祎杰","女","","CHN","中华人民共和国","3","本科","应用数学","1","10389495","美国罗切斯特大学","1","0","0","2","0","","7.00","王祎杰，基金经理，自2024年12月6日起至今，美国罗切斯特大学应用数学本科专业，具有基金从业资格，曾任职于先锋基金管理有限公司。2019年8月加入长信基金管理有限责任公司，曾任债券交易员，2024年12月至今担任长信稳势纯债债券型证券投资基金的基金经理、2024年12月至今担任长信稳丰债券型证券投资基金的基金经理、2024年12月至今担任长信稳健纯债债券型证券投资基金的基金经理、2024年12月至今担任长信稳恒债券型证券投资基金的基金经理、2024年12月至今担任长信稳惠债券型证券投资基金的基金经理、2024年12月至今担任长信稳鑫三个月定期开放债券型发起式证券投资基金的基金经理、2024年12月至今担任长信富瑞两年定期开放债券型证券投资基金的基金经理。"
